232040,28.17,60.67,1500
232050,28.6,61.13,3940
233001,-11.47,43.33,1087
233005,-12.83,45.17,660
233010,-11.75,43.38,2361
233011,-12.6,49.15,1475
233012,-13.32,48.48,214
233013,-14.3,48.67,2878
233014,-19,46.77,1800
233015,-19.4,47.2,2644
233020,-21.244,55.708,2632
234000,-37.721,77.825,-650
234001,-37.83,77.52,881
234002,-38.72,77.53,268
234010,-53.106,73.513,2745
234011,-53.03,72.6,230
234020,-49.58,69.5,1840
234030,-46.43,52.2,1090
234040,-46.42,51.75,934
234050,-46.1,50.23,775
234060,-46.63,37.95,672
234070,-46.9,37.75,1230
241010,-35.3,173.9,388
241011,-35.75,174.27,397
241020,-36.9,174.87,260
241021,-37.28,176.25,355
241030,-39.3,174.07,2518
241040,-37.52,177.18,321
241050,-38.12,176.5,1111
241060,-38.42,176.33,592
241061,-38.42,176.08,897
241070,-38.82,176,760
241080,-39.157,175.632,1978
241100,-39.28,175.57,2797
241101,-36.446,177.839,-860
241102,-36.321,178.028,-600
241110,-36.142,178.196,-400
241120,-36.13,178.05,-500
241130,-35.745,178.478,-220
241131,-35.353,178.527,-1200
241140,-35.004,178.973,-980
241150,-34.875,179.075,-1350
241815,-37.858,176.98,354
241816,-38.08,176.27,757
242001,-31.85,-179.18,-900
242005,-31.08,-179.033,-897
242010,-30.543,-178.556,47
242021,-30.21,-178.475,238
242022,-30.036,-178.712,-65
242030,-29.27,-177.92,516
242050,-25.887,-177.188,-132
243001,-24.8,-177.02,-385
243010,-21.38,-175.65,-500
243011,-21.15,-175.75,-65
243030,-20.85,-175.53,-13
243040,-20.536,-175.382,114
243050,-20.32,-175.42,-17
243060,-19.75,-175.07,515
243061,-19.67,-175.03,1030
243070,-19.18,-174.87,43
243080,-18.992,-174.775,-10
243090,-18.806,-174.65,540
243091,-18.325,-174.365,-40
243100,-18.02,-174.325,180
243101,-15.85,-173.72,560
243102,-15.62,-173.67,-33
243110,-15.6,-175.63,260
